Gene1,Gene2,Gene1_Description,Gene2_Description,Gene1_Pathways,Gene2_Pathways,Class,Relation
CTNNB1,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB1,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB1,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB1,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB1,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
NEDSDV,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
NEDSDV,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
NEDSDV,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
